domain,framework,condition_id,failure_category,numerator,denominator,rate,source_artifact_sha256
opslab,autogen,b0_no_verifier,framework_execution_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,framework_incompatibility,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,infrastructure_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,provider_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,contract_invalid,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,diagnosis_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,verification_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,framework_execution_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,framework_incompatibility,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,infrastructure_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,provider_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,contract_invalid,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,diagnosis_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,verification_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,framework_execution_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,framework_incompatibility,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,infrastructure_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,provider_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,contract_invalid,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,diagnosis_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,verification_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,framework_execution_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,framework_incompatibility,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,infrastructure_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,provider_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,contract_invalid,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,diagnosis_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,verification_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,framework_execution_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,framework_incompatibility,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,infrastructure_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,provider_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,contract_invalid,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,diagnosis_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,verification_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,framework_execution_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,framework_incompatibility,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,infrastructure_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,provider_failure,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,contract_invalid,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,diagnosis_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,verification_error,0,79,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,framework_execution_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,framework_incompatibility,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,infrastructure_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,provider_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,contract_invalid,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,diagnosis_error,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,verification_error,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,framework_execution_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,framework_incompatibility,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,infrastructure_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,provider_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,contract_invalid,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,diagnosis_error,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,verification_error,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,framework_execution_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,framework_incompatibility,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,infrastructure_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,provider_failure,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,contract_invalid,0,80,0.000000,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
