domain,framework,condition_id,scheduled_count,eligible_count,accepted_count,risk_numerator,risk_denominator,risk_value,coverage_numerator,coverage_denominator,coverage_value,input_tokens,output_tokens,cost_cny,mean_latency_ms,review_required,source_artifact_sha256
opslab,autogen,b0_no_verifier,79,79,79,59,79,0.746835,79,79,1.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,79,79,49,29,49,0.591837,49,79,0.620253,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,79,79,69,49,69,0.710145,69,79,0.873418,409774,4543,0.416348,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,79,79,53,33,53,0.622642,53,79,0.670886,178793,8554,0.194725,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,79,79,0,0,0,,0,79,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,79,79,0,0,0,,0,79,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,80,80,80,60,80,0.750000,80,80,1.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,80,80,49,29,49,0.591837,49,80,0.612500,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,80,80,68,48,68,0.705882,68,80,0.850000,414296,4922,0.421589,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b3_deepseek_isolated,80,80,45,25,45,0.555556,45,80,0.562500,179997,9205,0.197213,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b4_qwen_isolated,80,80,0,0,0,,0,80,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b5_deterministic_qwen,80,80,0,0,0,,0,80,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b0_no_verifier,100,100,100,80,100,0.800000,100,100,1.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b1_deterministic,100,100,45,25,45,0.555556,45,100,0.450000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b2_deepseek_shared,100,100,93,73,93,0.784946,93,100,0.930000,717731,4924,0.723216,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b3_deepseek_isolated,100,100,64,44,64,0.687500,64,100,0.640000,319068,10939,0.338902,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b4_qwen_isolated,100,100,0,0,0,,0,100,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b5_deterministic_qwen,100,100,0,0,0,,0,100,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b0_no_verifier,99,99,99,79,99,0.797980,99,99,1.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b1_deterministic,99,99,44,24,44,0.545455,44,99,0.444444,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b2_deepseek_shared,99,99,86,66,86,0.767442,86,99,0.868687,705549,5885,0.713017,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b3_deepseek_isolated,99,99,63,43,63,0.682540,63,99,0.636364,314944,11444,0.335802,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b4_qwen_isolated,99,99,0,0,0,,0,99,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,langgraph,b5_deterministic_qwen,99,99,0,0,0,,0,99,0.000000,0,0,0.000000,0.000000,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
