domain,framework,condition_id,threshold,risk_numerator,risk_denominator,risk_value,coverage_numerator,coverage_denominator,coverage_value,accepted_count,fixed_operating_point,source_artifact_sha256
opslab,autogen,b0_no_verifier,0.000000,59,79,0.746835,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b0_no_verifier,1.000000,59,79,0.746835,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,0.000000,29,79,0.367089,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b1_deterministic,1.000000,29,79,0.367089,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,0.000000,49,79,0.620253,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b2_deepseek_shared,1.000000,49,79,0.620253,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,0.000000,33,79,0.417722,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b3_deepseek_isolated,1.000000,33,79,0.417722,79,79,1.000000,79,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,0.000000,0,0,,0,79,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b4_qwen_isolated,1.000000,0,0,,0,79,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,0.000000,0,0,,0,79,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,autogen,b5_deterministic_qwen,1.000000,0,0,,0,79,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,0.000000,60,80,0.750000,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b0_no_verifier,1.000000,60,80,0.750000,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,0.000000,29,80,0.362500,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b1_deterministic,1.000000,29,80,0.362500,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,0.000000,48,80,0.600000,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b2_deepseek_shared,1.000000,48,80,0.600000,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b3_deepseek_isolated,0.000000,25,80,0.312500,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b3_deepseek_isolated,1.000000,25,80,0.312500,80,80,1.000000,80,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b4_qwen_isolated,0.000000,0,0,,0,80,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b4_qwen_isolated,1.000000,0,0,,0,80,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b5_deterministic_qwen,0.000000,0,0,,0,80,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
opslab,langgraph,b5_deterministic_qwen,1.000000,0,0,,0,80,0.000000,0,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b0_no_verifier,0.000000,80,100,0.800000,100,100,1.000000,100,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
supportlab,autogen,b0_no_verifier,1.000000,80,100,0.800000,100,100,1.000000,100,false,bc09f1b134de9370a3b5209fa5e959bce01abbcdf05c8456af1f069fc4cd3088
